DATE,CODE,CODENM,價位,賣數量,成本,剩餘數量,手續費,交易稅,損益
2020-01-06,2504,國產,13.8,1000.0,14.45,0.0,20.0,41.0,-711.0
2020-01-06,1590,亞德客-KY,450.0,1000.0,468.0,0.0,641.0,1350.0,-19991.0
2020-01-06,3665,貿聯-KY,223.0,1000.0,231.0,0.0,318.0,669.0,-8987.0
2020-01-06,6278,台表科,120.5,1000.0,117.5,0.0,172.0,362.0,2466.0
2020-01-07,1722,台肥,49.05,1000.0,49.6,0.0,70.0,147.0,-767.0
2020-01-07,2308,台達電,148.0,1000.0,151.5,2000.0,211.0,444.0,-4155.0
2020-01-07,2392,正崴,44.2,1000.0,46.35,1000.0,63.0,133.0,-2346.0
2020-01-07,2399,映泰,12.2,1000.0,12.3,0.0,17.0,37.0,-154.0
2020-01-07,2421,建準,43.1,1000.0,47.225,1000.0,61.0,129.0,-4315.0
2020-01-07,3090,日電貿,52.8,1000.0,53.5,0.0,75.0,158.0,-933.0
2020-01-07,3605,宏致,30.5,1000.0,31.3,0.0,43.0,92.0,-935.0
2020-01-07,3704,合勤控,19.8,1000.0,20.35,0.0,28.0,59.0,-637.0
2020-01-07,2228,劍麟,115.5,1000.0,119.0,0.0,165.0,346.0,-4011.0
2020-01-07,2903,遠百,25.45,1000.0,25.85,0.0,36.0,76.0,-512.0
2020-01-07,1102,亞泥,48.15,1000.0,48.5,0.0,69.0,144.0,-563.0
2020-01-07,1409,新纖,12.05,1000.0,12.2,0.0,17.0,36.0,-203.0
2020-01-07,2330,台積電,332.5,1000.0,333.0,0.0,474.0,998.0,-1972.0
2020-01-07,2489,瑞軒,10.75,1000.0,10.95,0.0,15.0,32.0,-247.0
2020-01-08,2308,台達電,148.5,1000.0,151.5,1000.0,212.0,446.0,-3658.0
2020-01-08,2360,致茂,148.5,1000.0,147.25,1000.0,212.0,446.0,592.0
2020-01-08,2392,正崴,42.85,1000.0,46.35,0.0,61.0,129.0,-3690.0
2020-01-08,2421,建準,42.85,1000.0,47.225,0.0,61.0,129.0,-4565.0
2020-01-08,8163,達方,42.7,1000.0,44.0,0.0,61.0,128.0,-1489.0
2020-01-08,3645,達邁,49.7,1000.0,52.9,0.0,71.0,149.0,-3420.0
2020-01-08,2345,智邦,158.5,1000.0,170.0,0.0,226.0,476.0,-12202.0
2020-01-08,6269,台郡,115.0,1000.0,123.0,0.0,164.0,345.0,-8509.0
2020-01-09,2308,台達電,149.0,1000.0,151.5,0.0,212.0,447.0,-3159.0
2020-01-09,2360,致茂,151.0,1000.0,147.25,0.0,215.0,453.0,3082.0
2020-01-09,1514,亞力,17.85,1000.0,18.0,0.0,25.0,54.0,-229.0
2020-01-09,1904,正隆,19.3,1000.0,19.3,0.0,28.0,58.0,-86.0
2020-01-09,1909,榮成,15.5,1000.0,15.65,0.0,22.0,46.0,-218.0
2020-01-09,2006,東和鋼鐵,23.15,1000.0,23.3,1000.0,33.0,69.0,-252.0
2020-01-09,1312,國喬,18.5,1000.0,19.05,0.0,26.0,56.0,-632.0
2020-01-09,2855,統一證,14.5,1000.0,14.75,0.0,21.0,44.0,-315.0
2020-01-09,6452,康友-KY,225.0,1000.0,236.0,0.0,321.0,675.0,-11996.0
2020-01-09,2312,金寶,13.05,1000.0,13.2,0.0,19.0,39.0,-208.0
2020-01-09,3029,零壹,30.25,1000.0,30.15,0.0,43.0,91.0,-34.0
2020-01-10,2104,國際中橡,31.4,1000.0,31.4,0.0,45.0,94.0,-139.0
2020-01-10,2634,漢翔,34.5,1000.0,34.9,0.0,49.0,104.0,-553.0
2020-01-10,6120,達運,15.8,1000.0,16.1,0.0,23.0,47.0,-370.0
2020-01-13,2006,東和鋼鐵,23.15,1000.0,23.3,0.0,33.0,69.0,-252.0
2020-01-13,1305,華夏,21.2,1000.0,22.1,0.0,30.0,64.0,-994.0
2020-01-13,6505,台塑化,98.3,1000.0,103.0,0.0,140.0,295.0,-5135.0
2020-01-13,1536,和大,122.5,1000.0,126.75,1000.0,175.0,368.0,-4793.0
2020-01-13,3665,貿聯-KY,238.5,1000.0,235.0,0.0,340.0,716.0,2444.0
2020-01-14,1536,和大,124.5,1000.0,126.75,0.0,177.0,374.0,-2801.0
2020-01-15,5519,隆大,16.25,1000.0,16.65,0.0,23.0,49.0,-472.0
2020-01-15,9955,佳龍,20.05,1000.0,20.533333333333335,2000.0,29.0,60.0,-572.0
2020-01-15,9938,百和,87.4,1000.0,84.1,0.0,125.0,262.0,2913.0
2020-01-15,1590,亞德客-KY,518.0,1000.0,510.0,0.0,738.0,1554.0,5708.0
2020-01-15,2377,微星,92.1,1000.0,91.4,0.0,131.0,276.0,293.0
2020-01-15,3665,貿聯-KY,238.5,1000.0,243.0,0.0,340.0,716.0,-5556.0
2020-01-16,8039,台虹,50.6,1000.0,51.35,1000.0,72.0,152.0,-974.0
2020-01-16,2520,冠德,31.55,1000.0,31.75,0.0,45.0,95.0,-340.0
2020-01-16,2360,致茂,162.0,1000.0,169.0,0.0,231.0,486.0,-7717.0
2020-01-16,3376,新日興,145.0,1000.0,142.0,0.0,207.0,435.0,2358.0
2020-01-16,8210,勤誠,113.0,1000.0,99.1,0.0,161.0,339.0,13400.0
2020-01-17,9955,佳龍,20.1,1000.0,20.533333333333335,1000.0,29.0,60.0,-522.0
2020-01-17,8039,台虹,50.4,1000.0,51.35,0.0,72.0,151.0,-1173.0
2020-01-17,1904,正隆,20.2,1000.0,19.775,1000.0,29.0,61.0,335.0
2020-01-17,1590,亞德客-KY,513.0,1000.0,514.0,0.0,731.0,1539.0,-3270.0
2020-01-17,3413,京鼎,205.5,1000.0,195.0,0.0,293.0,616.0,9591.0
2020-01-17,3661,世芯-KY,264.0,1000.0,245.0,0.0,376.0,792.0,17832.0
