DATE,CODE,CODENM,價位,賣數量,成本,剩餘數量,手續費,交易稅,損益,
20170221,6282,康舒,24.3,1000,25,0,35,73,-808,0
20170224,1301,台塑,92.5,1000,90.3,0,132,278,1790,1
20170224,2891,中信金,18.45,1000,18.6,0,26,55,-231,0
20170224,2884,玉山金,18.55,1000,19,0,26,56,-532,0
20170307,2369,菱生,13.95,1000,12.9,0,20,42,988,1
20170307,2464,盟立,39.75,1000,42,0,57,119,-2426,0
20170310,6139,亞翔,36.4,1000,36.65,0,52,109,-411,0
20170314,1802,台玻,16.85,1000,14.3,0,24,51,2475,1
20170314,2345,智邦,58.9,1000,62.1,0,84,177,-3461,0
20170316,1904,正隆,16,1000,17,0,23,48,-1071,0
20170316,8112,至上,26.35,1000,27.2,0,38,79,-967,0
20170328,1305,華夏,28.1,1000,28.7,0,40,84,-724,0
20170329,6176,瑞儀,63.3,1000,65,0,90,190,-1980,0
20170331,2345,智邦,68.4,1000,64.1,0,97,205,3998,1
20170411,1504,東元,30.5,1000,29.7,0,43,92,665,1
20170412,8110,華東,14.55,1000,15.35,0,21,44,-865,0
20170412,3006,晶豪科,42.9,1000,39.1,1000,61,129,3610,1
20170413,3006,晶豪科,43.4,1000,39.1,0,62,130,4108,1
20170420,1215,卜蜂,55.6,1000,57.3,0,79,167,-1946,0
20170425,2409,友達,12.3,1000,12.8,0,18,37,-555,0
20170426,2421,建準,31.8,1000,34.1,0,45,95,-2440,0
20170428,4960,誠美材,15.4,1000,15.4,1000,22,46,-68,0
20170504,5871,中租-KY,79.7,1000,77.2,0,114,239,2147,1
20170505,4960,誠美材,14.6,1000,15.4,0,21,44,-865,0
20170510,6443,元晶,10.7,1000,11.9,0,15,32,-1247,0
20170511,3698,隆達,19.95,1000,22,0,28,60,-2138,0
20170523,2882,國泰金,48.7,1000,50.6,0,69,146,-2115,0
20170526,1215,卜蜂,69.5,1000,61,0,99,208,8193,1
20170601,6176,瑞儀,64.3,1000,66.9,0,92,193,-2885,0
20170608,3031,佰鴻,17.6,1000,18,0,25,53,-478,0
20170612,1216,統一,58.7,1000,60.6,0,84,176,-2160,0
20170621,1902,台紙,18.15,1000,14.6,0,26,54,3470,1
20170628,1909,榮成,33.85,1000,34.7,0,48,102,-1000,0
20170703,1560,中砂,74.1,1000,77.5,0,106,222,-3728,0
20170703,8112,至上,34,1000,29.9,0,48,102,3950,1
20170704,3702,大聯大,40.5,1000,41.55,0,58,122,-1230,0
20170710,2356,英業達,25.45,1000,23.75,1000,36,76,1588,1
20170714,2356,英業達,24.65,1000,23.75,0,35,74,791,1
20170714,1904,正隆,14.3,1000,15.3,0,20,43,-1063,0
20170717,1319,東陽,57,1000,59.4,0,81,171,-2652,0
20170719,2103,台橡,35.9,1000,35.75,0,51,108,-9,0
20170720,1210,大成,34.7,1000,34.15,0,49,104,397,1
20170721,2324,仁寶,20.7,1000,21.5,0,29,62,-891,0
20170728,3005,神基,39.5,1000,41.65,0,56,118,-2324,0
20170801,2485,兆赫,30.1,1000,31.35,0,43,90,-1383,0
20170801,2633,台灣高鐵,25.4,1000,26.125,1000,36,76,-837,0
20170801,2344,華邦電,18.1,1000,18.85,0,26,54,-830,0
20170802,2633,台灣高鐵,25.6,1000,26.125,0,36,77,-638,0
20170807,3682,亞太電,10.45,1000,10.8,0,15,31,-396,0
20170809,1902,台紙,18.4,1000,19,0,26,55,-681,0
20170809,3311,閎暉,19.7,1000,20.8,0,28,59,-1187,0
20170811,2881,富邦金,46.7,1000,48,0,67,140,-1507,0
20170814,2313,華通,28.9,1000,27.45,0,41,87,1322,1
20170815,8105,凌巨,18.9,1000,20.55,0,27,57,-1734,0
20170825,2023,燁輝,13.05,1000,13.95,0,19,39,-958,0
20170905,1305,華夏,35.35,1000,35.025,1000,50,106,169,1
20170908,2823,中壽,33.2,1000,33.1,0,47,100,-47,0
20170908,3041,揚智,21.8,1000,23.45,0,31,65,-1746,0
20170912,2464,盟立,43.95,1000,46.5,0,63,132,-2745,0
20170914,1305,華夏,34.2,1000,35.025,0,49,103,-977,0
20170914,1444,力麗,10.95,1000,11.5,0,16,33,-599,0
20170914,2104,國際中橡,45.25,1000,44.575,1000,64,136,475,1
20170915,2104,國際中橡,45.1,1000,44.575,0,64,135,326,1
20170921,2499,東貝,12.4,1000,12.9,0,18,37,-555,0
20170925,3514,昱晶,17.55,1000,17.8,0,25,53,-328,0
20170926,1536,和大,139,1000,145,0,198,417,-6615,0
20171024,1210,大成,33.9,1000,33.65,1000,48,102,100,1
20171026,1455,集盛,12.1,1000,10.2,0,17,36,1847,1
20171026,2419,仲琦,21.75,1000,22.5,0,31,65,-846,0
20171101,6443,元晶,11.45,1000,11.9,0,16,34,-500,0
20171102,1444,力麗,11.3,1000,11.8,0,16,34,-550,0
20171103,2481,強茂,28.8,1000,25.9,0,41,86,2773,1
20171103,2206,三陽工業,21.85,1000,22.45,0,31,66,-697,0
20171107,1210,大成,34.9,1000,33.65,0,50,105,1095,1
20171113,2324,仁寶,21.35,1000,22.25,0,30,64,-994,0
20171114,2027,大成鋼,20.25,1000,21.5,0,29,61,-1340,0
20171115,2367,燿華,15.3,1000,13.375,1000,22,46,1857,1
20171117,1229,聯華,32,1000,31,0,46,96,858,1
20171120,4906,正文,24.2,1000,25.8,0,34,73,-1707,0
20171120,6443,元晶,11.8,1000,13,0,17,35,-1252,0
20171124,2367,燿華,15.5,1000,13.375,0,22,46,2057,1
20171127,1455,集盛,12.4,1000,13.075,1000,18,37,-730,0
20171128,2405,浩鑫,21.2,1000,14.95,0,30,64,6156,1
20171128,2915,潤泰全,51.2,1000,51,0,73,154,-27,0
20171129,1455,集盛,12.15,1000,13.075,0,17,36,-978,0
20171201,3031,佰鴻,17.5,1000,18.55,0,25,52,-1127,0
20171204,6168,宏齊,20.5,1000,21.5,0,29,62,-1091,0
20171206,1608,華榮,10.65,1000,12,0,15,32,-1397,0
20171206,2481,強茂,29.45,1000,34.9,0,42,88,-5580,0
20171207,2885,元大金,13.65,1000,13.85,1000,19,41,-260,0
20171207,2888,新光金,10.2,1000,10.55,0,15,31,-396,0
20171207,4906,正文,24.6,1000,25.8,0,35,74,-1309,0
20171207,6120,達運,29.15,1000,30.7,0,42,87,-1679,0
20171208,2885,元大金,13.55,1000,13.85,0,19,41,-360,0
20171218,2615,萬海,19.55,1000,20.1,0,28,59,-637,0
20171222,2884,玉山金,18.8,1000,18.9,0,27,56,-183,0
20171226,2534,宏盛,25.7,1000,25.425,1000,37,77,161,1
20171226,2392,正崴,51.5,1000,52.9,0,73,154,-1627,0
20171229,1605,華新,17.5,1000,17.05,0,25,52,373,1
20180111,1305,華夏,32,1000,34,0,46,96,-2142,0
20180112,1907,永豐餘,13.2,1000,13.8,0,19,40,-659,0
20180115,1802,台玻,22.55,1000,17.95,0,32,68,4500,1
20180115,2534,宏盛,26.9,1000,25.425,0,38,81,1356,1
20180122,2027,大成鋼,24.35,1000,20.45,0,35,73,3792,1
20180123,2353,宏碁,32.7,1000,24.55,0,47,98,8005,1
20180123,1402,遠東新,26.8,1000,27,0,38,80,-318,0
20180123,1409,新纖,10.2,1000,10.5,0,15,31,-346,0
20180123,1444,力麗,12.4,1000,13.35,0,18,37,-1005,0
20180205,1305,華夏,32,1000,35.05,0,46,96,-3192,0
20180207,6176,瑞儀,73.5,1000,73,0,105,220,175,1
20180207,2399,映泰,15.8,1000,17.6,0,23,47,-1870,0
20180209,6449,鈺邦,50.8,1000,64.3,0,72,152,-13724,0
20180227,6213,聯茂,77.6,1000,71.2,0,111,233,6056,1
20180308,2399,映泰,29.5,1000,20.4,0,42,88,8970,1
20180309,2534,宏盛,29,1000,29.5,0,41,87,-628,0
20180312,2208,台船,14.25,1000,14.35,0,20,43,-163,0
20180312,3090,日電貿,50,1000,45.45,1000,71,150,4329,1
20180313,3090,日電貿,47.3,1000,45.45,0,67,142,1641,1
20180316,2449,京元電子,30.3,1000,30.8,0,43,91,-634,0
20180321,2888,新光金,11.85,1000,12.15,0,17,36,-353,0
20180326,8163,達方,30.3,1000,31.65,0,43,91,-1484,0
20180330,2481,強茂,49.1,1000,47.7,0,70,147,1183,1
20180331,1326,台化,109,1000,108,0,155,327,518,1
20180409,2031,新光鋼,41.6,1000,34.95,0,59,125,6466,1
20180412,2208,台船,25,1000,17.4,2000,36,75,7489,1
20180413,2208,台船,26,1000,17.4,1000,37,78,8485,1
20180416,2208,台船,25.4,1000,17.4,0,36,76,7888,1
20180418,6139,亞翔,36,1000,37.55,0,51,108,-1709,0
20180423,1609,大亞,16.5,1000,16.775,1000,24,50,-349,0
20180425,1609,大亞,15.1,1000,16.775,0,22,45,-1742,0
20180425,1305,華夏,31.9,1000,33.9,0,45,96,-2141,0
20180427,1605,華新,19.6,1000,19.525,1000,28,59,-12,0
20180430,2534,宏盛,35,1000,35.65,0,50,105,-805,0
20180504,1605,華新,19.65,1000,19.525,0,28,59,38,1
20180508,6153,嘉聯益,55,1000,51.7,1000,78,165,3057,1
20180509,6153,嘉聯益,53.8,1000,51.7,0,77,161,1862,1
20180511,2886,兆豐金,26.15,1000,25.85,0,37,78,185,1
20180515,8163,達方,46.9,1000,37.05,1000,67,141,9642,1
20180516,8163,達方,46.8,1000,37.05,0,67,140,9543,1
20180517,2481,強茂,59.9,1000,59.5,0,85,180,135,1
20180521,2885,元大金,14.45,1000,13.8,0,21,43,586,1
20180524,2884,玉山金,21.2,1000,20.6,1000,30,64,506,1
20180528,1710,東聯,31.8,1000,34.7,0,45,95,-3040,0
20180530,2883,開發金,11.25,1000,10.75,0,16,34,450,1
20180530,1313,聯成,20.35,1000,21.45,0,29,61,-1190,0
20180531,2884,玉山金,21.05,1000,20.6,0,30,63,357,1
20180531,1314,中石化,13.6,1000,14.65,0,19,41,-1110,0
20180605,1309,台達化,16.1,1000,13.75,0,23,48,2279,1
20180605,6191,精成科,16.4,1000,15.45,1000,23,49,878,1
20180611,1704,榮化,45.2,1000,46,1000,64,136,-1000,0
20180611,1904,正隆,18,1000,18.6,0,26,54,-680,0
20180612,1722,台肥,42.85,1000,41.5,0,61,129,1160,1
20180612,1704,榮化,44.7,1000,46,0,64,134,-1498,0
20180614,4956,光鋐,23.95,1000,24.4,0,34,72,-556,0
20180620,6191,精成科,15.85,1000,15.45,0,23,48,329,1
20180626,1514,亞力,15.85,1000,17.4,0,23,48,-1621,0
20180626,6120,達運,28.5,1000,31.8,0,41,86,-3427,0
20180627,2419,仲琦,21.9,1000,22.65,0,31,66,-847,0
20180627,6168,宏齊,21.05,1000,23.2,0,30,63,-2243,0
20180629,2499,東貝,12.15,1000,13,0,17,36,-903,0
20180705,4739,康普,121,1000,130.5,0,172,363,-10035,0
20180706,2458,義隆,49.3,1000,52,0,70,148,-2918,0
,,,,,,,,,,0.355828221
