證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1101,台泥,13853882,"4,695",619983828,44.80,44.90,44.65,44.70,-,0.1,44.70,196,44.80,65,10.69,
1101B,台泥乙特,3000,3,156600,52.20,52.20,52.20,52.20,-,0.1,52.20,49,52.30,6,0.00,
1102,亞泥,9489412,"4,197",398328805,42.10,42.25,41.65,41.80,-,0.3,41.80,479,41.95,13,11.58,
1103,嘉泥,671314,233,11166023,16.65,16.70,16.55,16.65,-,0.1,16.60,77,16.65,12,15.86,
1104,環泥,410559,218,7770063,19.00,19.00,18.90,18.90,-,0.1,18.90,22,19.00,26,10.22,
1108,幸福,107209,34,734001,6.85,6.91,6.82,6.83,-,0.02,6.83,3,6.90,2,0.00,
1109,信大,312584,103,5558486,17.85,17.90,17.65,17.85,-,0.05,17.85,16,17.90,81,7.23,
1110,東泥,30000,10,496500,16.50,16.65,16.50,16.65,,0.0,16.55,2,16.65,6,118.93,
1201,味全,2345204,"1,064",70388020,30.10,30.25,29.85,29.95,-,0.1,29.95,12,30.00,3,7.64,
1203,味王,35601,18,950875,26.70,26.80,26.65,26.65,-,0.05,26.65,7,26.70,16,13.26,
1210,大成,2770843,"1,466",113271743,40.25,41.15,40.20,40.80,+,0.35,40.80,40,40.85,1,17.89,
1215,卜蜂,4339106,"2,924",320141889,72.10,74.20,72.10,74.00,+,1.7,73.90,10,74.00,30,21.33,
1216,統一,8836775,"3,529",712867172,80.00,81.00,80.00,80.80,+,0.8,80.70,10,80.80,43,24.94,
1217,愛之味,3511304,"1,227",26278911,7.52,7.61,7.40,7.40,-,0.12,7.40,163,7.41,9,148.00,
1218,泰山,2263963,968,46913280,20.40,21.00,20.35,20.70,+,0.35,20.65,2,20.70,14,20.50,
1219,福壽,16110,18,292180,18.15,18.20,18.00,18.10,-,0.05,18.05,2,18.20,3,0.00,
