DATE,CODE,CODENM,價位,賣數量,成本,剩餘數量,手續費,交易稅,損益
2019-01-10,2308,台達電,144.5,1000.0,140.5,0.0,206.0,434.0,3360.0
2019-02-12,6278,台表科,51.2,1000.0,42.35,0.0,73.0,154.0,8623.0
2019-03-21,4960,誠美材,12.9,1000.0,13.725,1000.0,18.0,39.0,-882.0
2019-03-22,1409,新纖,13.85,1000.0,12.4,0.0,20.0,42.0,1388.0
2019-03-26,4960,誠美材,11.65,1000.0,13.725,0.0,17.0,35.0,-2127.0
2019-03-28,1904,正隆,20.45,1000.0,20.65,0.0,29.0,61.0,-290.0
2019-04-08,3037,欣興,36.5,1000.0,28.65,0.0,52.0,110.0,7688.0
2019-04-09,3338,泰碩,48.5,1000.0,37.9,0.0,69.0,146.0,10385.0
2019-04-15,9938,百和,78.1,1000.0,75.6,1000.0,111.0,234.0,2155.0
2019-04-16,9938,百和,79.0,1000.0,75.6,0.0,113.0,237.0,3050.0
2019-04-22,6278,台表科,61.0,1000.0,58.0,0.0,87.0,183.0,2730.0
2019-05-07,2801,彰銀,18.15,1000.0,18.475,1000.0,26.0,54.0,-405.0
2019-05-08,5880,合庫金,20.1,1000.0,20.05,0.0,29.0,60.0,-39.0
2019-05-08,2801,彰銀,18.2,1000.0,18.475,0.0,26.0,55.0,-356.0
2019-06-10,1504,東元,22.55,1000.0,23.4,0.0,32.0,68.0,-950.0
2019-06-13,2892,第一金,21.9,1000.0,22.0,0.0,31.0,66.0,-197.0
2019-06-25,3044,健鼎,106.0,1000.0,106.0,0.0,151.0,318.0,-469.0
2019-07-01,1215,卜蜂,69.1,1000.0,71.5,0.0,98.0,207.0,-2705.0
2019-07-02,5880,合庫金,20.65,1000.0,20.9,0.0,29.0,62.0,-341.0
2019-07-03,2885,元大金,17.9,1000.0,18.65,0.0,26.0,54.0,-830.0
2019-07-15,6176,瑞儀,119.0,1000.0,115.5,0.0,170.0,357.0,2973.0
2019-07-19,3038,全台,17.75,1000.0,17.05,1000.0,25.0,53.0,622.0
2019-07-22,2382,廣達,60.9,1000.0,61.9,0.0,87.0,183.0,-1270.0
2019-07-25,2313,華通,26.4,1000.0,28.55,1000.0,38.0,79.0,-2267.0
2019-07-26,2313,華通,26.7,1000.0,28.55,0.0,38.0,80.0,-1968.0
2019-07-31,3038,全台,18.0,1000.0,17.05,0.0,26.0,54.0,870.0
2019-07-31,3017,奇鋐,40.0,1000.0,47.5,0.0,57.0,120.0,-7677.0
2019-08-05,8039,台虹,42.35,1000.0,44.75,0.0,60.0,127.0,-2587.0
2019-08-05,2603,長榮,13.3,1000.0,14.2,0.0,19.0,40.0,-959.0
2019-08-05,3338,泰碩,60.4,1000.0,62.1,0.0,86.0,181.0,-1967.0
2019-08-06,6191,精成科,15.1,1000.0,17.6,0.0,22.0,45.0,-2567.0
