DATE,CODE,CODENM,價位,賣數量,成本,剩餘數量,手續費,交易稅,損益
20160202,2393,億光,57.6,1000.0,52.4,0.0,82.0,173.0,4945.0
20160217,6505,台塑化,80.6,1000.0,79.3,0.0,115.0,242.0,943.0
20160218,2419,仲琦,22.5,1000.0,19.95,1000.0,32.0,68.0,2450.0
20160218,3596,智易,46.75,1000.0,47.85,0.0,67.0,140.0,-1307.0
20160304,2455,全新,49.8,1000.0,55.0,0.0,71.0,149.0,-5420.0
20160308,2419,仲琦,24.4,1000.0,19.95,0.0,35.0,73.0,4342.0
20160315,4935,茂林-KY,78.5,1000.0,80.1,0.0,112.0,236.0,-1948.0
20160318,2108,南帝,27.0,1000.0,25.525,1000.0,38.0,81.0,1356.0
20160318,2345,智邦,33.9,1000.0,35.6,0.0,48.0,102.0,-1850.0
20160323,6282,康舒,26.5,1000.0,26.6,0.0,38.0,80.0,-218.0
20160330,2347,聯強,34.0,1000.0,35.4,0.0,48.0,102.0,-1550.0
20160401,2108,南帝,26.95,1000.0,25.525,0.0,38.0,81.0,1306.0
20160406,2353,宏碁,12.25,1000.0,12.9,0.0,17.0,37.0,-704.0
20160407,2405,浩鑫,9.78,1000.0,11.0,0.0,14.0,29.0,-1263.0
20160426,2103,台橡,28.7,1000.0,30.316666666666666,2000.0,41.0,86.0,-1744.0
20160429,1802,台玻,13.55,1000.0,14.625,1000.0,19.0,41.0,-1135.0
20160429,1522,堤維西,25.8,1000.0,27.5,0.0,37.0,77.0,-1814.0
20160503,2103,台橡,28.7,1000.0,30.316666666666666,1000.0,41.0,86.0,-1744.0
20160503,1101,台泥,33.0,1000.0,33.1,0.0,47.0,99.0,-246.0
20160503,1802,台玻,13.75,1000.0,14.625,0.0,20.0,41.0,-936.0
20160504,2103,台橡,27.3,1000.0,30.316666666666666,0.0,39.0,82.0,-3138.0
20160606,2383,台光電,64.9,1000.0,62.0,1000.0,92.0,195.0,2613.0000000000073
20160607,8222,寶一,40.45,1000.0,39.5,0.0,58.0,121.0,771.0
20160614,1326,台化,81.0,1000.0,84.3,0.0,115.0,243.0,-3658.0
20160621,2383,台光電,71.6,1000.0,62.0,0.0,102.0,215.0,9283.0
20160624,3698,隆達,16.5,1000.0,16.9,0.0,24.0,50.0,-474.0
20160624,3596,智易,59.9,1000.0,59.5,0.0,85.0,180.0,135.0
20160705,3034,聯詠,120.0,1000.0,121.0,0.0,171.0,360.0,-1531.0
20160721,2915,潤泰全,50.1,1000.0,51.0,0.0,71.0,150.0,-1121.0
20160726,1101,台泥,34.1,1000.0,33.825,1000.0,49.0,102.0,124.0
20160727,1101,台泥,34.0,1000.0,33.825,0.0,48.0,102.0,25.0
20160727,3005,神基,23.05,1000.0,23.55,0.0,33.0,69.0,-602.0
20160803,3682,亞太電,10.9,1000.0,11.1,1000.0,16.0,33.0,-249.0
20160804,3682,亞太電,11.15,1000.0,11.1,0.0,16.0,33.0,1.0
20160805,2409,友達,13.1,1000.0,10.55,0.0,19.0,39.0,2492.0
20160810,8105,凌巨,19.8,1000.0,20.55,0.0,28.0,59.0,-837.0
20160811,6282,康舒,25.85,1000.0,25.2,0.0,37.0,78.0,535.0
20160812,2489,瑞軒,22.3,1000.0,23.0,0.0,32.0,67.0,-799.0
20160818,2105,正新,67.8,1000.0,70.2,0.0,97.0,203.0,-2700.0
20160822,2103,台橡,29.05,1000.0,30.0,0.0,41.0,87.0,-1078.0
20160822,1301,台塑,78.1,1000.0,79.5,0.0,111.0,234.0,-1745.0
20160825,3023,信邦,71.9,1000.0,73.5,0.0,102.0,216.0,-1918.0
20160831,6285,啟碁,94.9,1000.0,94.0,0.0,135.0,285.0,480.0
20160901,4958,臻鼎-KY,63.6,1000.0,66.6,1000.0,91.0,191.0,-3282.0
20160902,4958,臻鼎-KY,64.1,1000.0,66.6,0.0,91.0,192.0,-2783.0000000000073
20160909,1305,華夏,19.5,1000.0,17.5,0.0,28.0,58.0,1914.0
20160919,2603,長榮,13.0,1000.0,14.05,0.0,19.0,39.0,-1108.0
20160920,9938,百和,111.5,1000.0,97.6,0.0,159.0,334.0,13407.0
20160926,2328,廣宇,29.4,1000.0,29.6,0.0,42.0,88.0,-330.0
20161006,2368,金像電,12.05,1000.0,12.55,0.0,17.0,36.0,-553.0
20161007,3189,景碩,72.2,1000.0,73.3,0.0,103.0,217.0,-1420.0
20161012,3006,晶豪科,33.85,1000.0,33.0,0.0,48.0,102.0,700.0
20161020,3231,緯創,23.5,1000.0,24.0,0.0,33.0,70.0,-603.0
20161024,1215,卜蜂,47.0,1000.0,44.85,0.0,67.0,141.0,1942.0
20161025,1305,華夏,22.7,1000.0,21.1,0.0,32.0,68.0,1500.0
20161027,4956,光鋐,25.05,1000.0,28.7,0.0,36.0,75.0,-3761.0
20161031,6269,台郡,90.0,1000.0,93.3,0.0,128.0,270.0,-3698.0
20161102,2103,台橡,32.0,1000.0,31.7,0.0,46.0,96.0,158.0
20161103,1210,大成,27.7,1000.0,29.1,0.0,39.0,83.0,-1522.0
20161116,8112,至上,23.2,1000.0,21.0,0.0,33.0,70.0,2097.0
20161130,2915,潤泰全,57.5,1000.0,58.5,0.0,82.0,172.0,-1254.0
20161205,2002,中鋼,25.0,1000.0,23.7,0.0,36.0,75.0,1189.0
20161205,9933,中鼎,50.2,1000.0,50.1,0.0,72.0,151.0,-123.0
20161205,1305,華夏,27.05,1000.0,26.95,0.0,39.0,81.0,-20.0
20161209,2823,中壽,32.65,1000.0,30.35,0.0,47.0,98.0,2155.0
20161219,3189,景碩,71.9,1000.0,73.6,0.0,102.0,216.0,-2018.0
20161221,1522,堤維西,34.85,1000.0,36.7,0.0,50.0,105.0,-2005.0
20161230,3481,群創,11.55,1000.0,11.4,0.0,16.0,35.0,99.0
20170111,2344,華邦電,10.05,1000.0,10.15,0.0,14.0,30.0,-144.0
20170118,2419,仲琦,20.4,1000.0,20.4,0.0,29.0,61.0,-90.0
20170123,1215,卜蜂,46.95,1000.0,48.2,0.0,67.0,141.0,-1458.0
20170124,1522,堤維西,36.05,1000.0,36.7,0.0,51.0,108.0,-809.0
20170203,1907,永豐餘,10.9,1000.0,10.75,0.0,16.0,33.0,101.0
20170207,2103,台橡,36.55,1000.0,34.5,1000.0,52.0,110.0,1888.0
20170208,2103,台橡,36.1,1000.0,34.5,0.0,51.0,108.0,1441.0
